0,Cameroon_Baka,black,triangle,grey
15,Cameroon_Bamileke,navy,circle,#3B9AB2
16,Cameroon_Bassa,#49A0B6,hex,cyan
17,Cameroon_Beti,#74B5C3,diamond,#C2C460
18,Cameroon_Bobli,#8CBAA9,inverted_triangle,#E9C825
19,Cameroon_Mafa,#A7BF85,square_x,#E5BA11
20,Cameroon_Massa,#DDC93C,diamond_cross,#E2A600
21,Cameroon_Moundang,#E7C11B,square_cross,None
22,Cameroon_Nso,#E58300,triangle,#E58300
23,Cameroon_Bamoun,#E2B407,square,teal
24,Cameroon_Foulbe,#E58300,circle_cross,#E58300
25,Cameroon_Mbo,maroon,circle,#EE3D00
10,Cameroon_Nzime,#004529,diamond,#DFC27D
1,Benin_Bariba,#78C679,circle,#78C679
2,Benin_Fon,#41AB5D,triangle,#ADDD8E
3,Benin_Yoruba,#ADDD8E,diamond,#78C679
4,Nigeria_Igbo,#238443,cross,#238443
5,Nigeria_Esan-ESN,#006837,circle,#41AB5D
6,Nigeria_Yoruba-YRI,#41AB5D,triangle,#ADDD8E
7,CAR_Banda,#543005,asterisk,#238443
8,CAR_Gbaya,#8C510A,x,#006837
9,CAR_Mpiemo,#BF812D,square_x,#004529
13,Chad_Sara,#543005,square,#DFC27D
14,Chad_Laal,#DFC27D,circle,#8C510A
12,Chad_Toubou,blueviolet,triangle,magenta
